Tingkat kebisingan,Rata-rata hasil audiometri,Rata-rata usia,Rekomendasi
4,94.29,26.5,1
11,92.32,27.2,1
18,93.44,36.4,1
40,79.31,29.7,1
2,76.38,23.5,1
20,81.08,22.1,1
28,81.77,39,1
18,72.98,30.9,1
14,88.17,37.7,1
6,82.65,23.8,1
70,80.67,23.3,1
49,99.53,38.8,1
2,85.19,25.5,1
30,86.09,23.4,1
47,81.32,23.5,1
67,97.2,20.6,1
55,85.99,26.2,1
36,85.34,34.3,1
54,70.37,31.4,1
66,86.8,25.8,1
10,93.66,26.3,1
55,77.25,37.7,1
55,96.35,23.7,1
15,89.51,34.2,1
61,97.57,36.1,1
50,83.18,23.5,1
24,98.17,38.4,1
47,86.66,26.6,1
17,96.45,22.5,1
54,72.51,32.9,1
23,91.68,31.6,1
54,83.9,23.4,1
32,79.4,35.8,1
46,76.88,29.8,1
10,98.1,39,1
50,74.48,34.5,1
3,71.28,36,1
59,80.24,37.6,1
30,72.77,26.8,1
43,82.86,23.8,1
56,86.01,36.4,1
25,70.09,28.4,1
41,81.13,31,1
65,70.89,35.6,1
21,96.48,36.5,1
69,70.77,35.2,1
56,82.68,34.4,1
55,99.07,34.3,1
9,74.83,33.1,1
18,78.4,28.1,1
41,91.63,25.4,1
60,96.31,39.6,1
35,76.6,27.3,1
66,91.24,31,1
44,80.87,35.8,1
70,76.53,25.8,1
43,98.1,23.6,1
70,99.91,28.6,1
26,98.62,23.2,1
34,85.65,26.3,1
64,70.84,36.5,1
35,84.85,24.3,1
69,81.38,35.4,1
25,86.24,33.5,1
18,86.08,21.1,1
9,82.05,31.3,1
36,73.77,29.8,1
45,99.59,23.2,1
60,81.87,39.6,1
54,99.29,39.5,1
30,99.03,36.6,1
33,99.76,32.7,1
33,94.35,36.9,1
6,87.58,39.2,1
34,90.97,31,1
65,87.77,22.8,1
36,87.32,39.8,1
27,99.65,25.1,1
10,73.22,22.5,1
41,70.25,31.4,1
31,73.12,29.1,1
55,92.37,33.5,1
45,92.61,34.9,1
3,96.44,39.1,1
8,81.36,28.1,1
47,91.21,20.2,1
40,78.4,33.2,1
54,72.66,25.5,1
7,71.39,22.1,1
23,71.64,24.2,1
2,90.53,23.9,1
54,79.07,23.8,1
67,90.23,36.8,1
35,81.74,32.2,1
3,88.95,35,1
11,74.65,36.9,1
65,89.25,29.1,1
65,97.14,39.2,1
61,73.91,30.4,1
3,85.79,21.9,1
57,74.93,23.9,1
64,85.18,20,1
18,77.24,32.9,1
70,93.62,34.9,1
42,96.4,24.9,1
57,71.11,39.3,1
29,92.88,21.6,1
35,87.99,29.7,1
15,78.08,20.3,1
63,89.35,33.1,1
50,78.62,21.6,1
11,79.44,35.6,1
2,80.05,39,1
15,89.63,32,1
24,73.98,27.9,1
53,79.6,26.2,1
67,96.25,20.6,1
13,91.91,28,1
31,86.15,21.5,1
14,93.41,38.9,1
69,70.75,20.3,1
59,99.53,34.2,1
2,79.35,30.6,1
37,75.36,33.6,1
59,97.83,31.5,1
34,87.63,35.3,1
17,98.75,24,1
54,94.03,22.3,1
9,75.29,33.1,1
39,99.08,21.4,1
6,86.95,36.5,1
25,89.19,33.6,1
54,70.72,37.9,1
9,86.45,34.5,1
63,92.52,36.6,1
1,97.05,26.9,1
56,73.89,26.5,1
41,79.38,20.4,1
6,83.58,39.6,1
22,80.57,39.8,1
15,70.63,27.6,1
29,95.29,30,1
57,93.56,30.5,1
18,79.42,33.2,1
52,99.72,20.9,1
6,93.88,37.2,1
59,73.81,35.1,1
51,81.37,36.2,1
61,92.21,26.1,1
5,74.06,23.8,1
21,88.43,24.4,1
30,86.14,22.4,1
44,98.33,30.6,1
50,89.96,20.3,1
11,82.88,21.9,1
12,72.48,27.6,1
43,81.34,31.5,1
65,97.62,29.1,1
39,79.96,30.2,1
34,94.34,33.6,1
53,82.54,26.9,1
51,96.09,21.1,1
42,94.15,30.3,1
33,82.1,30.9,1
3,98.99,28.2,1
65,93.61,30.8,1
25,91.92,29.7,1
45,99.49,27.7,1
28,96.53,35.8,1
61,99.1,23.4,1
70,71.24,29.6,1
33,96.7,29.8,1
68,94.91,21.9,1
66,75.74,30.6,1
69,89.24,27.5,1
46,80.07,20.5,1
64,75.85,36,1
59,73.28,34.3,1
70,71.15,28.2,1
19,90.66,22.4,1
2,77.69,22.3,1
2,95.51,28.6,1
5,92.79,25.6,1
69,74.56,37,1
4,88.8,28.9,1
3,98.29,32.4,1
50,94.9,22.3,1
49,70,35.5,1
29,88.9,24.4,1
4,96.72,29.1,1
28,98.92,27.7,1
34,86.62,21.5,1
14,87.74,24.8,1
51,78.04,33.4,1
35,98.6,27,1
58,94.02,37.6,1
27,81.42,38.6,1
56,70.86,24.3,1
31,94.55,29.6,1
1,95.57,33.4,1
46,96.79,29.2,1
31,75.63,34.4,1
28,78.66,36.1,1
53,80.82,21.8,1
70,91.52,37.1,1
60,83.53,32.2,1
46,70.29,30.6,1
52,93.92,38.9,1
16,94.7,33.2,1
30,82.11,26.9,1
33,73.65,36.5,1
68,77.09,37.4,1
29,95.04,26.1,1
15,97.35,29.1,1
38,83.24,26.5,1
9,87.99,33.8,1
40,95,31.4,1
15,91.11,28.4,1
61,88.66,37.9,1
67,81.32,33,1
11,72.73,20.8,1
28,99.47,31.5,1
28,96.8,36.6,1
18,89.98,33.9,1
17,93.02,25.5,1
42,71.63,32.7,1
48,75.92,20.9,1
1,81.78,36.9,1
30,85.9,38,1
8,85.61,35.9,1
62,71.11,33.3,1
18,73.68,28.5,1
70,82.53,24.9,1
45,88.45,24.4,1
31,86.9,31.1,1
14,89.17,23.2,1
3,76.06,27.6,1
70,70.03,28.9,1
65,81.33,32,1
55,96.17,32.4,1
16,82.96,23.6,1
21,90.97,38.2,1
5,89.84,31,1
1,90.96,28.1,1
66,78.74,36.5,1
20,75.39,23.4,1
16,95.37,24.5,1
37,98.45,26.6,1
24,82.31,39.5,1
50,71.37,33.2,1
5,96.99,20.4,1
31,73.44,24.4,1
17,98.26,29.1,1
53,78.89,21.1,1
10,77.75,24.1,1
45,87.33,32.1,1
57,86.95,24.3,1
32,95.98,20.5,1
14,90.5,39.3,1
29,81.14,33.7,1
2,70.69,36.2,1
56,94.44,39.3,1
10,79.42,26.5,1
57,82.04,37.6,1
57,92.67,30.4,1
36,77.18,28,1
14,92.89,38.9,1
4,90.26,25.2,1
37,97.38,33.4,1
35,80.76,30.9,1
66,71.49,35,1
23,83.41,22.1,1
0,98.13,37.6,1
32,80.84,25.9,1
34,84.05,39.5,1
45,97.78,25.2,1
17,86.7,29,1
22,93.82,20.7,1
63,87.32,20.4,1
51,92.22,21.9,1
21,83.45,29.8,1
23,87.89,34.9,1
62,83.61,33.1,1
52,95.66,30.2,1
51,81.08,30.7,1
36,98.53,27.1,1
8,70.72,31.1,1
33,73.85,37.1,1
5,97.14,30.2,1
26,98.25,34.9,1
2,83.92,24.9,1
43,93.06,20.1,1
41,95.74,26.6,1
53,82.5,33.9,1
21,90.59,38.8,1
57,82.46,35.5,1
9,96.18,26.2,1
34,96.56,25.5,1
20,91.79,22.7,1
63,72.71,25.3,1
23,97.38,31.3,1
32,89.45,39.8,1
59,78.49,39.8,1
62,81.94,24.3,1
29,95.3,30.5,1
63,93.79,21.5,1
63,76.73,34.9,1
11,73.52,33.3,1
18,86.44,22.5,1
36,74.57,30.7,1
9,98.11,21.2,1
67,79.04,35.5,1
28,84.98,37.6,1
10,90.19,25,1
70,95.29,30.5,1
34,82.02,32.3,1
23,94.91,32.1,1
49,84.25,32.9,1
45,85.1,23.9,1
10,90.72,35.1,1
55,82.13,25.7,1
33,93.72,20.1,1
41,82.62,34.5,1
34,84.47,29.9,1
37,87.94,33.6,1
4,80.19,27.2,1
69,94.8,20.8,1
0,85.16,24,1
32,92.03,25.7,1
33,99.98,31.4,1
59,91.06,39,1
0,83.09,38.5,1
44,78.97,25.9,1
49,91.1,33.6,1
22,94.21,27,1
39,73.09,37.1,1
51,76.79,26.6,1
22,90.19,37.3,1
17,78.89,27.1,1
20,80.34,29.1,1
54,85.98,20.1,1
36,84.87,24,1
0,81,23.3,1
26,73.3,23.2,1
7,91.56,31.3,1
64,92.19,27.4,1
54,88.25,36.7,1
18,72.7,31.5,1
33,82.91,27.2,1
32,94.57,35.3,1
8,76.91,38.3,1
6,94.37,29.5,1
45,96.08,25.1,1
26,76.56,28.8,1
41,82.97,28.5,1
1,92.81,35.7,1
7,77.18,26.2,1
68,77.94,21.7,1
57,88.75,36.7,1
43,98.58,20.4,1
55,88.27,38.4,1
14,80.58,20.1,1
47,73.7,27.8,1
42,98.93,34.6,1
45,79.61,35.7,1
16,93.72,32.8,1
56,88.93,34.9,1
33,84.86,22.7,1
53,91.73,22.1,1
21,82.98,28.5,1
17,74.79,33,1
14,95.65,28.3,1
56,92.27,30.6,1
19,80.34,20.8,1
48,91.51,23.2,1
53,99.71,33,1
5,78.13,36.8,1
4,80.17,27.4,1
51,70.73,24.7,1
30,85.3,29.9,1
41,96.87,29,1
0,81.54,35.5,1
70,80.11,38,1
6,75.41,28.6,1
34,86.1,22.9,1
7,94.15,39.8,1
44,80.72,26,1
11,76.7,32.8,1
8,85.45,24.5,1
63,83.34,21.4,1
2,90.66,32.2,1
49,73.11,25,1
50,78.64,23.6,1
35,71.06,34.6,1
40,84,31,1
4,79.35,24.6,1
16,77.09,31.7,1
56,72.95,20.4,1
66,89.3,33.1,1
21,98.43,23,1
64,96.81,35.5,1
36,86.74,38.7,1
15,92.89,22.9,1
40,98.07,33.8,1
15,95.04,20.9,1
60,85.21,26.8,1
6,90.37,38.1,1
43,82.59,23.9,1
20,84.88,22.7,1
12,71.59,35.4,1
51,91.67,28.7,1
54,97.51,30.6,1
61,75.6,26.6,1
65,76.36,34.1,1
34,92.48,24.1,1
57,89.99,24.4,1
35,81.58,36.3,1
55,97.79,20.8,1
55,82,24.5,1
17,93.14,35.2,1
33,94.51,37.5,1
65,74.6,24.5,1
37,94.28,23.1,1
31,91.54,33.9,1
41,84.26,37.1,1
9,95.82,38.5,1
66,74.7,26.6,1
62,83.19,26,1
19,74.86,30.8,1
65,97.25,28.8,1
41,74.01,30.6,1
38,94.65,37.7,1
20,85.06,26.9,1
24,92.04,37.4,1
66,87.83,27.4,1
26,80.14,21.7,1
45,81.52,24.4,1
51,76.74,39,1
19,93.51,39.2,1
51,86.39,23,1
8,82.41,32.6,1
50,89.75,33.6,1
40,80.14,30.3,1
43,93.03,27.5,1
43,98.2,26.4,1
45,87.23,26.1,1
55,77.3,20,1
32,78.84,25.6,1
61,72.34,23.1,1
